from_canonical,to_name,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,fiber_g_per_100g,gram_ratio,note
red cabbage,Red cabbage (raw or cooked),31.0,1.4,0.2,5.8,2.1,1.0,Red cabbage is already relatively low-carb (~3.7 g net per 100 g) and keto-compatible in moderate portions. No substitution needed; listed here to confirm it can remain in the recipe as-is.
rice noodles,Konjac/shirataki noodles,9.0,0.1,0.1,2.0,2.0,1.0,Shirataki noodles are virtually zero net carbs and mimic the slippery texture of rice noodles in stir-fries and soups; rinse well and dry-fry briefly to improve texture.
rigatoni,Konjac/Shirataki Tubular Noodles,9.0,0.1,0.1,1.5,1.3,1.0,Rinse and dry-fry shirataki to remove moisture; holds tube-like sauces well and keeps net carbs near zero.
soba noodles,Konjac/shirataki noodles (drained and rinsed),9.0,0.1,0.1,1.0,0.8,1.0,Soba is buckwheat-based and high in carbs (~60g/100g dried); konjac noodles replicate the thin strand format for cold noodle salads and hot broths.
sourdough bread,Almond flour & flaxseed keto bread,330.0,12.0,27.0,8.0,7.0,1.0,A whole-food almond flour and ground flaxseed loaf replicates the role of bread in the dish while keeping net carbs very low; texture is denser than sourdough.
spaghetti,Courgette (Zucchini) Spirals,17.0,1.2,0.3,2.1,1.1,1.0,Spiralise fresh courgette and briefly sauté or serve raw with hot sauce; mirrors spaghetti strands visually.
sweet potato,"Celeriac (raw, peeled)",42.0,1.5,0.3,7.4,1.8,1.0,"Celeriac has a mild, earthy flavour and holds its shape when roasted or mashed, closely mimicking sweet potato's role without the high sugar load."
sweet potatoes,Celeriac batons/chunks (roasted or mashed),42.0,1.5,0.3,7.4,1.8,1.0,"Celeriac has a mild, slightly sweet, earthy flavour and roasts or mashes well; far lower in carbs than sweet potato (~20g/100g)."
udon noodles,Konjac/shirataki udon-style noodles (drained and rinsed),9.0,0.1,0.1,1.0,0.8,1.0,"Konjac udon is widely available and closely mimics the thick, chewy udon shape; ideal for broths and stir-fries."
white onion,"Fennel bulb (raw, sliced)",31.0,1.2,0.2,5.0,2.7,1.0,Fennel provides a mild aromatic base similar to onion with notably fewer net carbs (~2.3 g net vs ~7 g net per 100 g). Use raw or sautéed as a direct swap.
white rice,Cauliflower Rice,25.0,1.9,0.3,3.0,2.0,1.0,Pulse raw cauliflower florets in a food processor to rice-sized grains; stir-fry or steam for 3–4 minutes.
whole wheat flour,ground almond flour (blanched),571.0,21.0,50.0,7.0,4.0,1.0,Almond flour is the closest plant-based keto flour substitute; net carbs ~3g/100g. May need a little extra binding agent (e.g. psyllium husk) in baking.
whole wheat pasta,Konjac/Shirataki Noodles,9.0,0.1,0.1,1.5,1.3,1.0,Whole wheat pasta is high-carb despite its fibre; shirataki replicates the bulk with negligible net carbs.
wholemeal flour,Almond flour,571.0,21.0,50.0,10.0,6.0,1.0,Closest whole-food low-carb flour substitute; works well in baking though may need a little extra binding agent such as flaxseed gel in plant-based recipes.
wild rice,Cauliflower rice,25.0,1.9,0.3,4.0,2.0,1.0,Volume-for-volume swap; lightly toasted cauliflower rice mimics the fluffy grain base. Add a pinch of smoked paprika or herbs to echo wild rice's earthy notes.
